time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
93,58965;0,6387994;0,8032923;0,6608008;0,3636935;0,2047148;0,3662253;6,220093;-3,733477;6,190015
93,81165;0,6387994;0,8032923;0,6608008;0,3636935;0,2047148;0,3662247;6,220093;-3,733477;6,190022
94,02884;0,6387994;0,8032923;0,6608012;0,3636935;0,2047148;0,366225;6,220093;-3,733477;6,190018
94,24271;0,6387994;0,8032923;0,6608009;0,3636935;0,2047148;0,3662249;6,220093;-3,733477;6,190017
94,45983;0,6387994;0,8032923;0,6608016;0,3636935;0,2047148;0,3662252;6,220093;-3,733477;6,190015
94,68027;0,6387994;0,8032923;0,6608015;0,3636935;0,2047148;0,3662245;6,220093;-3,733477;6,190022
94,89496;0,6387994;0,8032923;0,6608016;0,3636935;0,2047148;0,3662246;6,220093;-3,733477;6,19002
95,11779;0,6387994;0,8032923;0,6608019;0,3636935;0,2047148;0,3662249;6,220093;-3,733477;6,190018
95,34495;0,6387994;0,8032923;0,6608017;0,3636935;0,2047148;0,3662247;6,220093;-3,733477;6,190019
95,56956;0,6387994;0,8032923;0,6608023;0,3636935;0,2047148;0,3662249;6,220093;-3,733477;6,190016
95,77357;0,6387994;0,8032923;0,660802;0,3636935;0,2047148;0,3662244;6,220093;-3,733477;6,19002
95,99765;0,6387994;0,8032923;0,6608021;0,3636935;0,2047148;0,366225;6,220093;-3,733477;6,190014
96,22111;0,6387994;0,8032923;0,6608025;0,3636935;0,2047148;0,3662242;6,220093;-3,733477;6,190021
96,44316;0,6387994;0,8032923;0,6608026;0,3636935;0,2047148;0,3662248;6,220093;-3,733477;6,190017
96,65887;0,6387994;0,8032923;0,6608028;0,3636935;0,2047148;0,3662244;6,220093;-3,733477;6,190017
96,86121;0,6387994;0,8032923;0,6608031;0,3636935;0,2047148;0,3662251;6,220093;-3,733477;6,190012
97,07433;0,6387994;0,8032923;0,6608034;0,3636935;0,2047148;0,3662241;6,220093;-3,733477;6,190019
97,27695;0,6387994;0,8032923;0,660803;0,3636935;0,2047148;0,3662242;6,220093;-3,733477;6,190016
97,50288;0,6387994;0,8032923;0,6608036;0,3636935;0,2047148;0,3662243;6,220093;-3,733477;6,190016
97,72972;0,6387994;0,8032923;0,6608037;0,3636935;0,2047148;0,3662238;6,220093;-3,733477;6,19002
97,92973;0,6387994;0,8032923;0,6608038;0,3636935;0,2047148;0,3662243;6,220093;-3,733477;6,190016
98,15007;0,6387994;0,8032923;0,6608041;0,3636935;0,2047148;0,3662237;6,220093;-3,733477;6,19002
98,36621;0,6387994;0,8032923;0,660804;0,3636935;0,2047148;0,3662246;6,220093;-3,733477;6,190012
98,58939;0,6387994;0,8032923;0,6608039;0,3636935;0,2047148;0,366224;6,220093;-3,733477;6,190017
98,81166;0,6387994;0,8032923;0,660804;0,3636935;0,2047148;0,3662243;6,220093;-3,733477;6,190017
99,03498;0,6387994;0,8032923;0,6608041;0,3636935;0,2047148;0,3662243;6,220093;-3,733477;6,190014
99,25866;0,6387994;0,8032923;0,6608044;0,3636935;0,2047148;0,3662235;6,220093;-3,733477;6,190018
99,46848;0,6387994;0,8032923;0,6608041;0,3636935;0,2047148;0,3662242;6,220093;-3,733477;6,190014
99,68886;0,6387994;0,8032923;0,6608046;0,3636935;0,2047148;0,3662235;6,220093;-3,733477;6,190019
99,90753;0,6387994;0,8032923;0,6608046;0,3636935;0,2047148;0,3662241;6,220093;-3,733477;6,190013
100,1274;0,6387994;0,8032923;0,6608047;0,3636935;0,2047148;0,3662239;6,220093;-3,733477;6,190016
100,3537;0,6387994;0,8032923;0,6608049;0,3636935;0,2047148;0,3662237;6,220093;-3,733477;6,190017
100,5769;0,6387994;0,8032923;0,6608049;0,3636935;0,2047148;0,3662241;6,220093;-3,733477;6,190012
100,8013;0,6387994;0,8032923;0,6608051;0,3636935;0,2047148;0,3662238;6,220093;-3,733477;6,190014
101,0243;0,6387994;0,8032923;0,6608054;0,3636935;0,2047148;0,3662235;6,220093;-3,733477;6,190015
101,2485;0,6387994;0,8032923;0,6608053;0,3636935;0,2047148;0,3662233;6,220093;-3,733477;6,190018
101,4713;0,6387994;0,8032923;0,6608057;0,3636935;0,2047148;0,3662241;6,220093;-3,733477;6,190012
101,6918;0,6387994;0,8032923;0,6608059;0,3636935;0,2047148;0,3662236;6,220093;-3,733477;6,190013
101,9161;0,6387994;0,8032923;0,6608058;0,3636935;0,2047148;0,3662233;6,220093;-3,733477;6,190017
102,121;0,6387994;0,8032923;0,6608058;0,3636935;0,2047148;0,3662238;6,220093;-3,733477;6,190014
102,3411;0,6387994;0,8032923;0,660806;0,3636935;0,2047148;0,3662234;6,220093;-3,733477;6,190017
102,5672;0,5556101;0,5419602;0,2713366;0,3531509;0,2217677;0,367122;9,044159;5,085855;12,16566
102,7846;0,1602436;0,1088272;0,09702082;0,2466159;0,1832194;0,3090053;22,8652;19,72968;23,90631
103,0027;-0,2191643;-0,3017689;-0,2063454;0,03378467;0,03596472;0,03591319;37,55445;34,41924;37,69914
103,2048;-0,3929371;-0,3609039;-0,2951809;-0,1140656;-0,004555071;-0,06158793;42,69378;34,41924;41,27103
103,4076;-0,4099327;-0,3662769;-0,3815173;-0,1297452;-0,008236691;-0,1253816;42,69378;34,41924;42,43311
103,6371;-0,3923386;-0,255244;-0,3627583;-0,1135133;0,06784388;-0,1102576;43,27651;38,95195;43,87181
103,8385;-0,1757079;0,05805147;-0,1508117;0,1264122;0,3211108;0,1267831;54,17723;52,51873;54,60984
104,0617;0,04175375;0,3296471;0,05580011;0,514752;0,6753009;0,5153084;69,20787;67,54949;69,29411
104,2623;0,1140656;0,3577451;0,1499797;0,7322719;0,7433015;0,7273946;73,03424;67,54949;72,46658
104,4887;0,1212169;0,3599578;0,1418408;0,7557126;0,7486567;0,7487965;73,03424;67,54949;72,8541
104,7047;0,121717;0,360128;0,140932;0,757352;0,7490684;0,7492337;73,03424;67,54949;72,92255
104,9247;0,08887628;0,2420931;0,05582209;0,6435947;0,4634094;0,1386296;76,2581;77,95821;81,56608
105,1475;0,03345614;0,1491516;0,02499777;0,21308;0,02771661;-0,2400293;90,91419;92,96072;95,4438
105,3744;0,09331066;0,1725954;0,1347034;-0,2355209;-0,4255655;-0,5824237;106,1992;108,2458;109,7883
105,6019;0,1501056;0,1865516;0,1617706;-0,4148702;-0,4678993;-0,4169138;108,2091;108,2458;108,3759
105,8268;0,1542029;0,1875352;0,1629382;-0,4273257;-0,4708829;-0,4370841;108,2091;108,2458;108,2506
106,052;0,1544951;0,1876051;0,1629073;-0,4282138;-0,471095;-0,437872;108,2091;108,2458;108,2291
106,2721;0,1545158;0,1876103;0,1628759;-0,4282767;-0,4711107;-0,4378842;108,2091;108,2458;108,2254
106,4978;0,1545174;0,1876107;0,1628691;-0,4282816;-0,4711119;-0,4378816;108,2091;108,2458;108,2248
106,715;0,1545175;0,1876107;0,1628663;-0,4282819;-0,471112;-0,4378797;108,2091;108,2458;108,2247
106,9312;0,1545175;0,1876107;0,1628659;-0,4282819;-0,471112;-0,4378805;108,2091;108,2458;108,2246
107,1359;0,1451542;0,1471116;0,1619752;-0,3998184;-0,3482644;-0,4034735;108,2091;108,2458;108,299
107,3389;0,02536845;0,01998379;0,03605924;-0,09118597;0,03735726;-0,1114339;117,3762;121,9195;118,203
107,5432;-0,1981878;-0,1960218;-0,1727998;0,2496179;0,3841217;0,2452781;131,134;135,6774;131,1507
107,7643;-0,5229009;-0,5123792;-0,4637853;0,5482836;0,6930854;0,5782465;142,1241;135,6774;131,1507
107,9705;-0,628893;-0,5395378;-0,4887658;0,6307246;0,7196093;0,6068311;142,1241;135,6774;131,1507
108,1821;-0,6386949;-0,5419239;-0,4909605;0,6383485;0,7219396;0,6093425;142,1241;135,6774;131,1507
108,3995;-0,6395324;-0,5421171;-0,1366789;0,6389999;0,7221283;-0,00274682;142,1241;135,6774;132,888
108,6223;-0,6395987;-0,5421316;-0,1567807;0,6390514;0,7221425;-0,06866992;142,1241;135,6774;133,0317
108,8424;-0,6396035;-0,5421327;-0,1640423;0,6390552;0,7221435;-0,07591942;142,1241;135,6774;133,0405
109,0654;-0,6396039;-0,5421327;-0,1662111;0,6390554;0,7221436;-0,07738595;142,1241;135,6774;133,0412
109,2846;-0,6396039;-0,5421327;-0,1668092;0,6390554;0,7221436;-0,07774837;142,1241;135,6774;133,0413
109,4931;-0,6396039;-0,5421327;-0,1669708;0,6390554;0,7221436;-0,0778437;142,1241;135,6774;133,0413
109,7075;-0,6396039;-0,5421327;-0,1670135;0,6390554;0,7221436;-0,07786977;142,1241;135,6774;133,0413
109,9228;-0,6396039;-0,5421327;-0,1670249;0,6390554;0,7221436;-0,07787637;142,1241;135,6774;133,0413
110,1458;-0,6396039;-0,5421327;-0,5225163;0,6390554;0,7221436;0,3813707;142,1241;135,6774;139,069
110,3564;-0,6396039;-0,5421327;-0,6272327;0,6390554;0,7221436;0,6363211;142,1241;135,6774;141,9736
110,5698;-0,6396039;-0,5421327;-0,6383543;0,6390554;0,7221436;0,6415668;142,1241;135,6774;142,1167
110,7935;-0,6396039;-0,5421327;-0,6394549;0,6390554;0,7221436;0,64262;142,1241;135,6774;142,1387
