time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
2,338415;-24,9954;16,40327;90,69833; -25;16,4;90,00001; -25,01803;16,43727;90,21723
2,366636;-24,99694;16,40315;90,61543; -25;16,4;90,00001; -25,01895;16,43882;90,23026
2,389627;-24,99491;16,40373;90,71761; -25;16,4;90,00001; -25,01868;16,43838;90,22945
2,418838;-24,99512;16,40363;90,68554; -25;16,4;90,00001; -25,01852;16,43859;90,23013
2,441514;-24,99503;16,40341;90,61552; -25;16,4;90,00001; -25,0181;16,43974;90,2336
2,490267;-24,99405;16,40298;90,63707; -25;16,4;90,00001; -25,01754;16,43992;90,23324
2,520044;-24,9914;16,40399;90,4941; -25;16,4;90,00001; -25,01678;16,43891;90,15426
2,543404;-24,99119;16,40426;90,47391; -25;16,4;90,00001; -25,01668;16,43863;90,12948
2,57318;-24,99171;16,40336;90,60259; -25;16,4;90,00001; -25,01522;16,43645;90,11109
2,596269;-24,99012;16,40353;90,78201; -25;16,4;90,00001; -25,01268;16,42423;90,18879
2,622519;-24,98991;16,40416;90,86036; -25;16,4;90,00001; -25,01076;16,41604;90,19398
2,653572;-24,98934;16,39485;90,89509; -25;16,39036;90,00001; -25,00934;16,40113;90,28266
2,704147;-24,98878;16,37094;90,91552; -25;16,36507;90,00001; -25,00897;16,3828;90,27488
2,734946;-24,98819;16,35532;90,93331; -25;16,34967;90,00001; -25,01024;16,36876;90,36362
2,758637;-24,98898;16,34201;90,90192; -25;16,33782;90,00001; -25,01218;16,36282;90,38457
2,78568;-24,98946;16,32723;90,99095; -25;16,3243;90,00001; -25,01205;16,353;90,48669
2,816124;-24,98881;16,31131;91,09204; -25;16,30908;90,00001; -25,01233;16,33617;90,60085
2,842474;-24,98949;16,2979;91,33293; -25;16,2959;90,00001; -25,00996;16,32012;90,7139
2,872817;-24,98768;16,28259;91,44131; -25;16,28073;90,00001; -25,00864;16,29953;90,82154
